run_id,timestamp,environment_tier,machine_name,workload,implementation,backend,device,n,p,d,k,R,batch_R,seed,cold_time_s,warm_median_s,warm_iqr_s,host_peak_mem_mb,gpu_peak_mem_mb,validation_status,notes,profile,scenario_id,skip_reason,estimated_host_gib,estimated_gpu_gib,threads,workers,dtype,transfer_included,max_iter,separation
long_safe_20260503_190133,2026-05-04T01:48:52+0800,linux_server_cpu,BI103202,permutation,numpy_matrix,cpu,linux_server_cpu,1000,1000,,,10000,512,0,0.31267125299200416,0.29029093123972416,0.007578746881335974,189.640625,,pass,mean_p=0.5088; min_p=0.0002; max_p=0.9993,long_safe,perm_calibration__R-10000__batch_R-512__estimated_host_gib-0.017__implementation-numpy_matrix__n-1000__p-1000__profile-long_safe__repeat-3__run_id-long_safe_20260503_190133__seed-0__threads-16,,0.017,,16,,,,,
long_safe_20260503_190133,2026-05-04T01:49:07+0800,linux_server_cpu,BI103202,permutation,numpy_matrix,cpu,linux_server_cpu,5000,10000,,,10000,512,0,2.4780750731006265,2.717731826007366,0.30210743146017194,611.05859375,,pass,mean_p=0.5009; min_p=9.999e-05; max_p=1,long_safe,perm_calibration__R-10000__batch_R-512__estimated_host_gib-0.473__implementation-numpy_matrix__n-5000__p-10000__profile-long_safe__repeat-3__run_id-long_safe_20260503_190133__seed-0__threads-16,,0.473,,16,,,,,
