run_id,timestamp,hostname,workload,method,thread_count,n,d,k,max_iter,seed,cold_time_s,warm_times_s,median_warm_time_s,p25_warm_time_s,p75_warm_time_s,peak_rss_mb,correctness_status,final_inertia,relative_inertia_diff_vs_reference,iterations,load_avg_before,load_avg_after,load_status,cpu_affinity,effective_cpu_count,env_json,notes
parallelism_targeted_20260506,2026-05-06T17:54:29+0800,BI103202,kmeans,numba_cpu_serial,1,1000000,64,20,20,0,20.9137345,"[20.131447925698012, 20.107279635965824, 20.201853258069605, 22.274439216125757, 23.2964316890575]",20.2018533,20.1314479,22.2744392,1718.32031,pass,62524025,0,20,"167.90,155.29,148.81","164.88,148.15,146.40",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""1"", ""NUMBA_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""VECLIB_MAXIMUM_THREADS"": ""1""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T17:56:46+0800,BI103202,kmeans,numba_cpu_parallel,1,1000000,64,20,20,0,22.512339,"[20.608820516150445, 20.361139945220202, 20.176373049616814, 20.12588921096176, 20.201206295751035]",20.2012063,20.176373,20.3611399,1718.03516,pass,62524025,0,20,"164.88,148.15,146.40","96.65,132.24,141.19",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""1"", ""NUMBA_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""VECLIB_MAXIMUM_THREADS"": ""1""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T17:58:00+0800,BI103202,kmeans,numba_cpu_parallel,4,1000000,64,20,20,0,11.207745,"[10.817155378870666, 10.687187240924686, 10.332680812571198, 10.480639697052538, 9.578536458779126]",10.4806397,10.3326808,10.6871872,1718.04688,pass,62524025,0,20,"96.65,132.24,141.19","165.34,146.18,145.39",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""1"", ""NUMBA_NUM_THREADS"": ""4"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""VECLIB_MAXIMUM_THREADS"": ""1""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T17:58:42+0800,BI103202,kmeans,numba_cpu_parallel,16,1000000,64,20,20,0,6.01515717,"[5.098858110141009, 5.02619264787063, 4.959601921029389, 4.945137353613973, 4.899310770910233]",4.95960192,4.94513735,5.02619265,1718.18359,pass,62524025,0,20,"165.34,146.18,145.39","142.07,142.98,144.37",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""1"", ""NUMBA_NUM_THREADS"": ""16"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""VECLIB_MAXIMUM_THREADS"": ""1""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T17:59:38+0800,BI103202,kmeans,numpy_blas_or_matmul,1,1000000,64,20,20,0,7.8032256,"[7.7651570020243526, 7.759310523048043, 7.750867465976626, 7.748853059019893, 7.754171695094556]",7.7541717,7.75086747,7.75931052,1733.53516,pass,62524025,0,20,"142.07,142.98,144.37","92.90,129.26,139.60",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""1"", ""NUMBA_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""VECLIB_MAXIMUM_THREADS"": ""1""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T18:00:35+0800,BI103202,kmeans,numpy_blas_or_matmul,4,1000000,64,20,20,0,6.58866741,"[7.060951100662351, 8.4949916661717, 9.123495653271675, 9.331047501880676, 8.92445321334526]",8.92445321,8.49499167,9.12349565,1850.22656,pass,62524025,0,20,"92.90,129.26,139.60","153.85,138.24,141.92",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""4"", ""NUMBA_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""4"", ""OMP_NUM_THREADS"": ""4"", ""OPENBLAS_NUM_THREADS"": ""4"", ""VECLIB_MAXIMUM_THREADS"": ""4""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
parallelism_targeted_20260506,2026-05-06T18:01:28+0800,BI103202,kmeans,numpy_blas_or_matmul,16,1000000,64,20,20,0,8.35106942,"[7.866116850171238, 6.833229026291519, 6.631222260650247, 6.319611051119864, 6.25173688493669]",6.63122226,6.31961105,6.83322903,2148.11328,pass,62524025,0,20,"153.85,138.24,141.92","161.16,143.48,143.56",ok,0-511 (512 CPUs),512,"{""MKL_NUM_THREADS"": ""16"", ""NUMBA_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""16"", ""OMP_NUM_THREADS"": ""16"", ""OPENBLAS_NUM_THREADS"": ""16"", ""VECLIB_MAXIMUM_THREADS"": ""16""}",reference=numpy_matmul; same data/init/stopping; empty_clusters=0
